"location","total_jobs","total_revenue","avg_revenue_per_job","avg_travel_time","revenue_per_hour"
Poringland,3,64.95,21.65,6.33,15.71
Ashwellthorpe,69,1463.33,21.21,7.58,15.81
Dereham,69,1841.35,26.69,8.42,16.41
Caston,57,1182.47,20.75,9.32,17.34
Besthorpe,26,596.13,22.93,9.92,17.52
Hethersett,96,2131.36,22.20,7.55,18.61
Hingham,3,72.97,24.32,8.00,18.71
Wymondham,15,495.88,33.06,7.87,18.81
Saham Toney,27,718.80,26.62,10.59,20.65
Attleborough,20,454.66,22.73,9.50,20.76
Mulbarton,44,1284.29,29.19,7.48,21.05
Norwich,54,1428.90,26.46,6.43,21.29
Old Buckenham,2,41.10,20.55,10.50,21.63
Cringleford,1,23.00,23.00,12.00,24.21
